ensembl_gene_id,Start,End,Chromosome
ENSG00000142611,3069168,3438621,1
ENSG00000284616,5301928,5307394,1
ENSG00000157911,2403964,2413797,1
ENSG00000260972,5492978,5494674,1
ENSG00000224340,10054445,10054781,1
ENSG00000229280,4175528,4175899,1
ENSG00000142655,10472288,10630758,1
ENSG00000232596,4571481,4594016,1
ENSG00000231510,5086459,5090899,1
ENSG00000149527,2425980,2505532,1
ENSG00000171621,9292894,9369532,1
ENSG00000272235,3306636,3310096,1
ENSG00000284694,4479131,4484375,1
ENSG00000224387,2492300,2493258,1
ENSG00000142583,9035106,9088478,1
ENSG00000284674,4973381,4981568,1
ENSG00000224338,11425257,11425821,1
ENSG00000287727,10612222,10616452,1
ENSG00000173614,9943428,9985501,1
ENSG00000215720,15191828,15192845,1
ENSG00000241326,9983141,9984568,1
ENSG00000233623,10058671,10059648,1
ENSG00000204624,11479155,11537551,1
ENSG00000142606,2590639,2633016,1
ENSG00000225931,2566410,2569888,1
ENSG00000171729,15152532,15220478,1
ENSG00000229393,2493437,2494479,1
ENSG00000287586,4730211,4734992,1
ENSG00000227169,4551735,4552145,1
ENSG00000283356,5554747,5554881,1
ENSG00000157916,2391775,2405442,1
ENSG00000157881,2508537,2526597,1
ENSG00000225387,18385829,18388514,1
ENSG00000048707,12230030,12512047,1
ENSG00000225196,12220794,12221109,1
ENSG00000162444,9997206,10016021,1
ENSG00000279625,22364630,22366482,1
ENSG00000180758,9100305,9129102,1
ENSG00000184677,22428838,22531157,1
ENSG00000285833,11500803,11502016,1
ENSG00000131697,5862811,5992473,1
ENSG00000280222,18109389,18115861,1
ENSG00000285945,2768091,2784733,1
ENSG00000197921,2528745,2530263,1
ENSG00000284666,5480787,5482028,1
ENSG00000228943,28109739,28110298,1
ENSG00000234397,22322840,22323331,1
ENSG00000204138,28369582,28500364,1
ENSG00000233419,25125053,25125454,1
ENSG00000225011,29488193,29496893,1
ENSG00000284676,29755175,29790597,1
ENSG00000090020,27098809,27166981,1
ENSG00000158006,25959767,25998117,1
ENSG00000214812,28120449,28121321,1
ENSG00000196581,4654609,4792534,1
ENSG00000169403,28147166,28193936,1
ENSG00000171612,9539465,9585173,1
ENSG00000270927,29904865,29905357,1
ENSG00000188910,34781214,34786369,1
ENSG00000230523,29329620,29350114,1
ENSG00000158161,27970344,28088637,1
ENSG00000233234,2811850,2812692,1
ENSG00000189337,13892792,15118043,1
ENSG00000028137,12166991,12209228,1
ENSG00000283259,2773603,2776473,1
ENSG00000130939,10032832,10181239,1
ENSG00000175147,15111815,15153618,1
ENSG00000127472,20028179,20091911,1
ENSG00000060656,29236516,29326813,1
ENSG00000230214,36630335,36630857,1
ENSG00000189280,34755047,34758512,1
ENSG00000134698,35808016,35857890,1
ENSG00000272420,2363061,2363628,1
ENSG00000273274,32465072,32496686,1
ENSG00000236648,17717625,17749978,1
ENSG00000232273,37544763,37545294,1
ENSG00000130940,10636604,10796650,1
ENSG00000163879,37556919,37566857,1
ENSG00000227527,42335386,42338376,1
ENSG00000116954,38838198,38859772,1
ENSG00000163873,36795527,37034515,1
ENSG00000117215,20111939,20119566,1
ENSG00000230163,34850694,34851555,1
ENSG00000227538,42040597,42041729,1
ENSG00000044012,42153410,42155820,1
ENSG00000179051,17406760,17439677,1
ENSG00000215895,38708931,38710890,1
ENSG00000126067,35599541,35641526,1
ENSG00000274944,38864501,38881617,1
ENSG00000272078,10639241,10654333,1
ENSG00000230451,37330852,37330996,1
ENSG00000231606,14221887,14304445,1
ENSG00000054118,36224432,36305357,1
ENSG00000254553,32465057,32600792,1
ENSG00000284653,18015712,18045612,1
ENSG00000237749,37556247,37556499,1
ENSG00000276747,17372196,17401699,1
ENSG00000228776,42140635,42141391,1
ENSG00000159339,17308195,17364004,1
ENSG00000261781,18065657,18074412,1
ENSG00000158315,38885807,38941830,1
ENSG00000186973,43145153,43156396,1
ENSG00000146463,35268709,35422058,1
ENSG00000142686,35713877,35718894,1
ENSG00000224751,43850300,43851611,1
ENSG00000117148,17755333,17827063,1
ENSG00000230585,50780340,50781150,1
ENSG00000117000,40161387,40240921,1
ENSG00000284989,43650149,43931014,1
ENSG00000231630,2814432,2814998,1
ENSG00000092853,35720218,35769978,1
ENSG00000255811,34761426,34788097,1
ENSG00000134697,37566816,37595937,1
ENSG00000187513,34792999,34795747,1
ENSG00000225671,50405430,50406024,1
ENSG00000116151,2321253,2391707,1
ENSG00000006555,54779712,54801323,1
ENSG00000236111,45781277,45781957,1
ENSG00000214114,38862493,38873368,1
ENSG00000116544,34865436,34929650,1
ENSG00000236723,53209783,53213775,1
ENSG00000232467,45846994,45847594,1
ENSG00000117016,40620680,40665682,1
ENSG00000163866,34712737,34859755,1
ENSG00000237130,50846468,50846837,1
ENSG00000232335,35739389,35743576,1
ENSG00000232762,53304536,53307462,1
ENSG00000162384,53214099,53220634,1
ENSG00000162391,54609181,54623556,1
ENSG00000117859,51577179,51798427,1
ENSG00000162396,54756898,54764523,1
ENSG00000284686,56173433,56524495,1
ENSG00000162378,52726453,52827336,1
ENSG00000259818,53220663,53224253,1
ENSG00000234318,62896009,62901639,1
ENSG00000227485,63024207,63025658,1
